rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,year
Reporter,Lagos State University,,1000255,,0,,0,,0,,0,,0,Nigeria,"28,289",37.1,0%,"History, Philosophy & Theology,Agriculture & Forestry,Business & Management,Mechanical & Aerospace Engineering,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geography,Languages, Literature & Linguistics,Biological Sciences,Accounting & Finance,Law,Mathematics & Statistics,Medicine & Dentistry,Psychology,Electrical & Electronic Engineering,Other Health,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Education,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology",2023
Reporter,Knowledge University,,1000256,,0,,0,,0,,0,,0,Iraq,"2,125",16.6,1%,"Law,Education,Accounting & Finance,Biological Sciences,Other Health,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Business & Management,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Computer Science,General Engineering",2023
Reporter,University of Lampung,,1000256,,0,,0,,0,,0,,0,Indonesia,"25,782",19.9,0%,"Physics & Astronomy,Veterinary Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Architecture,Chemistry,History, Philosophy & Theology,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Communication & Media Studies,Sport Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Law,Other Health,Economics & Econometrics,Civil Engineering,Languages, Literature & Linguistics,Education,Biological Sciences,Business & Management,Medicine & Dentistry,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Sociology",2023
Reporter,Landmark University,,1000257,,0,,0,,0,,0,,0,Nigeria,"3,429",13.4,0%,"Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Computer Science,Biological Sciences,General Engineering,Economics & Econometrics,Physics & Astronomy,Business & Management,Mathematics & Statistics,Accounting & Finance,Chemistry,Communication & Media Studies,Civil Engineering,Sociology,Agriculture & Forestry",2023
Reporter,La Salle University,,1000258,,0,,0,,0,,0,,0,Colombia,"9,869",20.1,1%,"Other Health,Agriculture & Forestry,Accounting & Finance,Economics & Econometrics,Business & Management,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Architecture,General Engineering,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Chemical Engineering,Biological Sciences,Sociology,Civil Engineering",2023
Reporter,University of Las Américas (UDLA),,1000259,,0,,0,,0,,0,,0,Ecuador,"12,767",13.7,1%,"Electrical & Electronic Engineering,Medicine & Dentistry,General Engineering,Chemical Engineering,Art, Performing Arts & Design,Psychology,Architecture,Economics & Econometrics,Law,Business & Management,Communication & Media Studies,Other Health,Accounting & Finance,Politics & International Studies (incl Development Studies),Education",2023
Reporter,Leeds Arts University,,1000260,,0,,0,,0,,0,,0,United Kingdom,"2,065",15.3,12%,"Art, Performing Arts & Design",2023
Reporter,Leeds Conservatoire,,1000261,,0,,0,,0,,0,,0,United Kingdom,"1,260",19.4,12%,"Art, Performing Arts & Design,Business & Management",2023
Reporter,Leeds Trinity University,,1000262,,0,,0,,0,,0,,0,United Kingdom,"3,230",24.8,9%,"Communication & Media Studies,Languages, Literature & Linguistics,Sport Science,Computer Science,Sociology,History, Philosophy & Theology,Law,Art, Performing Arts & Design,Education,Business & Management,Psychology,Economics & Econometrics",2023
Reporter,Lesya Ukrainka Volyn National University,,1000263,,0,,0,,0,,0,,0,Ukraine,"8,039",10.1,1%,"Computer Science,History, Philosophy & Theology,Geography,Economics & Econometrics,Chemical Engineering,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Languages, Literature & Linguistics,Law,Psychology,Communication & Media Studies,Archaeology,Sport Science,Chemistry,Education,Geology, Environmental, Earth & Marine Sciences,Business & Management,Biological Sciences,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Sociology",2023
Reporter,Koya University,,1000263,,0,,0,,0,,0,,0,Iraq,"4,536",9.4,1%,"Other Health,Mathematics & Statistics,Medicine & Dentistry,Physics & Astronomy,Architecture,Education,Chemistry,Business & Management,General Engineering,Sociology,Computer Science,Sport Science,Accounting & Finance,Civil Engineering,Law,Geography,Languages, Literature & Linguistics,Biological Sciences,History, Philosophy & Theology,Chemical Engineering,Psychology",2023
Reporter,University of Liberal Arts Bangladesh,,1000264,,0,,0,,0,,0,,0,Bangladesh,"4,475",20.2,0%,"Computer Science,Business & Management,Languages, Literature & Linguistics,Communication & Media Studies,Electrical & Electronic Engineering",2023
Reporter,Liverpool Hope University,,1000265,,0,,0,,0,,0,,0,United Kingdom,"4,025",15.2,13%,"Sociology,Geography,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Psychology,Electrical & Electronic Engineering,Law,Business & Management,History, Philosophy & Theology,Art, Performing Arts & Design,Other Health,Sport Science,Education,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Computer Science",2023
Reporter,Liverpool Institute for Performing Arts,,1000266,,0,,0,,0,,0,,0,United Kingdom,865,17.3,23%,"Art, Performing Arts & Design",2023
Reporter,Liverpool School of Tropical Medicine,,1000267,,0,,0,,0,,0,,0,United Kingdom,210,2.2,39%,"Politics & International Studies (incl Development Studies),Medicine & Dentistry,Other Health",2023
Reporter,The LNM Institute of Information Technology,,1000268,,0,,0,,0,,0,,0,India,"2,136",22.3,0%,"Mechanical & Aerospace Engineering,Computer Science,Psychology,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Electrical & Electronic Engineering,Economics & Econometrics",2023
Reporter,Loei Rajabhat University,,1000269,,0,,0,,0,,0,,0,Thailand,"7,433",19.6,0%,"Chemical Engineering,Accounting & Finance,Agriculture & Forestry,Law,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Sport Science,Computer Science,Electrical & Electronic Engineering,Physics & Astronomy,Chemistry,Business & Management,Mathematics & Statistics,Civil Engineering,General Engineering,Sociology,Biological Sciences,Other Health,Languages, Literature & Linguistics,Education",2023
Reporter,London Business School,,1000270,,0,,0,,0,,0,,0,United Kingdom,"1,995",18.1,91%,"Business & Management,Accounting & Finance,Economics & Econometrics",2023
Reporter,London School of Hygiene and Tropical Medicine,,1000271,,0,,0,,0,,0,,0,United Kingdom,825,1.8,62%,"Veterinary Science,Other Health,Mathematics & Statistics,Medicine & Dentistry,Computer Science,Biological Sciences",2023
Reporter,London Metropolitan University,,1000272,,0,,0,,0,,0,,0,United Kingdom,"8,260",21.5,45%,"Psychology,Computer Science,Communication & Media Studies,Law,Languages, Literature & Linguistics,Other Health,Politics & International Studies (incl Development Studies),Sociology,Economics & Econometrics,Mechanical & Aerospace Engineering,Education,Biological Sciences,Accounting & Finance,Mathematics & Statistics,Business & Management,Chemistry,Architecture,Art, Performing Arts & Design,Sport Science",2023
Reporter,University of Los Lagos,,1000273,,0,,0,,0,,0,,0,Chile,"5,567",16.6,0%,"Architecture,Agriculture & Forestry,Other Health,Mathematics & Statistics,Sociology,Civil Engineering,Geography,General Engineering,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Computer Science,Psychology,Electrical & Electronic Engineering,Law,Business & Management,Accounting & Finance,Biological Sciences,Languages, Literature & Linguistics,Education,Politics & International Studies (incl Development Studies)",2023
Reporter,Universidad Loyola,,1000274,,0,,0,,0,,0,,0,Spain,"3,319",13.3,4%,"Mechanical & Aerospace Engineering,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Psychology,Electrical & Electronic Engineering,Economics & Econometrics,Law,Education,Business & Management,Communication & Media Studies,General Engineering",2023
Reporter,Malawi University of Science and Technology (MUST),,1000275,,0,,0,,0,,0,,0,Malawi,"2,356",12.3,0%,"Chemical Engineering,Sport Science,Computer Science,Accounting & Finance,Civil Engineering,Languages, Literature & Linguistics,Education,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Business & Management,General Engineering,Other Health,Biological Sciences,Art, Performing Arts & Design,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies",2023
Reporter,Management Development Institute (MDI),,1000276,,0,,0,,0,,0,,0,India,982,12.8,0%,Business & Management,2023
Reporter,Marian College Kuttikkanam (Autonomous),,1000277,,0,,0,,0,,0,,0,India,"1,755",17.0,0%,"Business & Management,Languages, Literature & Linguistics,Sociology,Physics & Astronomy,Computer Science,Mathematics & Statistics,Communication & Media Studies,Economics & Econometrics,Accounting & Finance",2023
Reporter,Maritime University of Szczecin,,1000278,,0,,0,,0,,0,,0,Poland,"2,559",24.7,13%,"General Engineering,Civil Engineering,Computer Science,Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering",2023
Reporter,University of Mascara,,1000279,,0,,0,,0,,0,,0,Algeria,"21,682",12.0,0%,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Accounting & Finance,Civil Engineering,Languages, Literature & Linguistics,Computer Science,Chemistry,Archaeology,Art, Performing Arts & Design,Business & Management,History, Philosophy & Theology,General Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Psychology,Economics & Econometrics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Law,Physics & Astronomy,Sociology",2023
Reporter,Universidad Mayor,,1000280,,0,,0,,0,,0,,0,Chile,"20,330",11.0,2%,"Other Health,Law,Languages, Literature & Linguistics,General Engineering,Communication & Media Studies,Medicine & Dentistry,Sociology,Agriculture & Forestry,Geography,Accounting & Finance,Architecture,Computer Science,Veterinary Science,Electrical & Electronic Engineering,Civil Engineering,Art, Performing Arts & Design,Sport Science,Psychology,Mathematics & Statistics,Education,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management",2023
Reporter,University of Medellín,,1000281,,0,,0,,0,,0,,0,Colombia,"9,371",17.6,2%,"Communication & Media Studies,Chemical Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Education,Physics & Astronomy,Languages, Literature & Linguistics,Accounting & Finance,Civil Engineering,Psychology,Electrical & Electronic Engineering,Law,Chemistry,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Mechanical & Aerospace Engineering,Computer Science",2023
Reporter,Meikai University,,1000282,,0,,0,,0,,0,,0,Japan,"4,326",16.1,17%,"Sociology,Accounting & Finance,Other Health,Languages, Literature & Linguistics,Business & Management,Economics & Econometrics,Medicine & Dentistry,Architecture",2023
Reporter,Michael and Cecilia Ibru University,,1000283,,0,,0,,0,,0,,0,Nigeria,405,6.9,0%,"Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Communication & Media Studies,Biological Sciences,Law,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Business & Management,Economics & Econometrics,Politics & International Studies (incl Development Studies)",2023
Reporter,"Michael Okpara University of Agriculture, Umudike",,1000284,,0,,0,,0,,0,,0,Nigeria,"23,198",21.7,0%,"Languages, Literature & Linguistics,Agriculture & Forestry,Physics & Astronomy,Computer Science,Sport Science,Mathematics & Statistics,Chemical Engineering,Education,Civil Engineering,Veterinary Science,Chemistry,Business & Management,Biological Sciences,Sociology,Accounting & Finance,Electrical & Electronic Engineering,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences",2023
Reporter,Middle Technical University,,1000285,,0,,0,,0,,0,,0,Iraq,"37,101",26.7,0%,"Architecture,Medicine & Dentistry,Mathematics & Statistics,Accounting & Finance,Electrical & Electronic Engineering,Chemical Engineering,Biological Sciences,Business & Management,Mechanical & Aerospace Engineering,Computer Science,Civil Engineering,Agriculture & Forestry,Art, Performing Arts & Design,General Engineering,Economics & Econometrics,Other Health,Chemistry,Education,Law",2023
Reporter,Mindanao State University – Iligan Institute of Technology,,1000286,,0,,0,,0,,0,,0,Philippines,"9,348",18.6,0%,"Civil Engineering,Art, Performing Arts & Design,Communication & Media Studies,Accounting & Finance,Mechanical & Aerospace Engineering,Education,Physics & Astronomy,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,General Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Psychology,Sociology,Mathematics & Statistics,Computer Science,Economics & Econometrics,Chemistry,Business & Management,Biological Sciences,Chemical Engineering",2023
Reporter,MIOTI Tech and Business School,,1000287,,0,,0,,0,,0,,0,Spain,115,38.3,9%,Computer Science,2023
